id,nom,sexe,date,ville,pays,profession,categorie,liste,bloc
547d62a912bdaa5876a2b387,Brahim Nacef,H,1952-09-14 0:00:00,Bizerte,Tunisie,Pharmacien,Pharmacien,Mouvement Nidaa Tounes,Bloc Al Horra
547d62a912bdaa5876a2b388,Ibtihej Ben Helal,F,1980-10-27 0:00:00,,Tunisie,Fonctionnaire,Fonctionnaire publique,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b38a,Khaled Chouket,H,1969-11-11 0:00:00,Sfax,Tunisie,Maitre de conférences de l'enseignement supérieur,Enseignant universitaire,Mouvement Nidaa Tounes,Aucun bloc
547d62a912bdaa5876a2b38b,Khawla Ben Aicha,F,1988-05-19 0:00:00,,Tunisie,Chercheuse en marketing et communication,Chercheur universitaire,Mouvement Nidaa Tounes,Bloc Al Horra
547d62a912bdaa5876a2b38d,Kamel Dhaouadi,H,1970-11-14 0:00:00,,Tunisie,Avocat d'affaires,Avocat,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b38e,Najia Ben Abdelhafidh,F,1965-08-19 0:00:00,"Jemmal, Monastir",Tunisie,Enseignante du secondaire,Enseignant du secondaire,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b390,Hassouna Nasfi,H,1972-09-15 0:00:00,Gabès,Tunisie,Directeur d'un établissement public,Cadre supérieur dans la fonction publique,Mouvement Nidaa Tounes,Bloc Al Horra
547d62a912bdaa5876a2b392,Sofien Toubel,H,1976-03-28 0:00:00,,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b393,Asma Abou Hana,F,1978-10-24 0:00:00,,Tunisie,Huissier de justice,Huissier de justice,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b395,Mohamed Ben Souf,H,1975-11-29 0:00:00,,Tunisie,Coordinateur d'un logement pour les personnes âgées,Assistant social,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b397,Belgacem Dkhili,H,1964-09-22 0:00:00,,Tunisie,Directeur général d'une entreprise publique,Cadre supérieur dans la fonction publique,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b398,Jihen Aouichi,F,1984-03-03 0:00:00,,Tunisie,Avocate,Avocat,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b399,Chaker Ayadi,H,1967-06-27 0:00:00,Madina El Atika de Sfax,Tunisie,Avocat,Avocat,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes
547d62a912bdaa5876a2b39b,Souhail Alouini,H,1956-11-27 0:00:00,Tunis,Tunisie,Médecin chirurgien spécialiste en pédiatrie,Médecin ,Mouvement Nidaa Tounes,Bloc Al Horra
